LetterRep,AvgFreq
NA,0
NA,17.335
NA,18.3675
NA,19.4625
NA,20.62
NA,21.845
NA,23.1425
NA,24.52
NA,25.98
NA,27.525
NA,29.1625
B0,30.895
C1,32.73
CS1,34.6775
D1,36.74
DS1,38.9225
E1,41.235
F1,43.6875
FS1,46.2875
G1,49.04
GS1,51.955
A1,55.045
AS1,58.32
B1,61.79
C2,65.465
CS2,69.3575
D2,73.48
DS2,77.8475
E2,82.4775
F2,87.3825
FS2,92.5775
G2,98.0825
GS2,103.915
A2,110.0925
AS2,116.6375
B2,123.5725
C3,130.92
CS3,138.705
D3,146.9525
DS3,155.69
E3,164.9475
F3,174.7575
FS3,185.1525
G3,196.1625
GS3,207.825
A3,220.1825
AS3,233.275
B3,247.1475
C4,261.845
CS4,277.4125
D4,293.9075
DS4,311.3875
E4,329.905
F4,349.52
FS4,370.3025
G4,392.3225
GS4,415.65
A4,440.365
AS4,466.55
B4,494.2925
C5,523.6875
CS5,554.83
D5,587.82
DS5,622.77
E5,659.8025
F5,699.04
FS5,740.6075
G5,784.645
GS5,831.3025
A5,880.735
AS5,933.1075
B5,988.5925
C6,1047.375
CS6,1109.655
D6,1175.64
DS6,1245.5475
E6,1319.61
F6,1398.0775
FS6,1481.2125
G6,1569.29
GS6,1662.605
A6,1761.47
AS6,1866.2125
B6,1977.18
C7,2094.7475
CS7,2219.31
D7,2351.28
DS7,2491.095
E7,2639.2225
F7,2796.16
FS7,2962.4275
G7,3138.58
GS7,3325.21
A7,3522.9375
AS7,3732.4225
B7,3954.365
C8,4189.5025
CS8,4438.62
D8,4702.5525
DS8,4982.1825
NA,5278.44
NA,5592.3125
NA,5924.85
NA,6277.1625
NA,6650.4225
NA,7045.875
NA,7464.8425
